DD-MM-YYYY,Danube,Budapest,France
9/3/2000,3700,1784,58.923
9/4/2000,3720,1905,55.247
9/5/2000,3780,1795,50.318
9/6/2000,3990,1731,48.283
9/7/2000,4030,1750,52.903
9/8/2000,3870,1848,58.913
9/9/2000,3660,2032,54.718
9/10/2000,3580,2302,46.509
9/11/2000,3500,2162,46.541
9/12/2000,3400,1932,46.405
9/13/2000,3270,1752,46.766
9/14/2000,3270,1661,46.386
9/15/2000,3320,1617,44.396
9/16/2000,3300,1686,45.703
9/17/2000,3340,1663,45.666
9/18/2000,3360,1706,46.701
9/19/2000,3380,1870,49.445
9/20/2000,3360,1955,56.271
9/21/2000,3330,1884,66.058
9/22/2000,3330,1797,71.276
9/23/2000,3470,2213,63.806
9/24/2000,3560,2736,63.848
9/25/2000,3620,2923,62.341
9/26/2000,3560,2901,60.035
9/27/2000,3500,2609,56.999
9/28/2000,3520,2305,64.098
9/29/2000,3540,2082,71.354
9/30/2000,3660,1928,65.682
10/1/2000,3720,1854,69.718
10/2/2000,3820,1758,69.42
10/3/2000,3870,1674,67.98
10/4/2000,3990,1837,68.361
10/5/2000,4160,2404,64.88
10/6/2000,4260,2410,69.141
10/7/2000,4260,2222,73.414
10/8/2000,4390,2229,62.69
10/9/2000,4430,2495,60.122
10/10/2000,4140,2698,60.315
10/11/2000,3990,2739,79.492
10/12/2000,3870,2734,173.44
10/13/2000,3820,2632,223.048
10/14/2000,3820,2519,199.94
10/15/2000,3950,2561,151.314
10/16/2000,4160,2610,125.263
10/17/2000,4330,2479,135.472
10/18/2000,4560,2291,145.986
10/19/2000,4760,2186,136.543
10/20/2000,4920,2164,122.952
10/21/2000,5090,2067,132.156
10/22/2000,5210,1983,116.269
10/23/2000,5330,1845,98.041
10/24/2000,5380,1724,95.064
10/25/2000,5330,1664,97.681
10/26/2000,5180,1621,100.642
10/27/2000,5110,1632,96.746
10/28/2000,4950,1667,99.549
10/29/2000,4860,1614,95.984
10/30/2000,4920,1577,89.091
10/31/2000,4950,1468,92.703
11/1/2000,4920,1397,114.266
11/2/2000,4740,1424,147.899
11/3/2000,4450,1488,156.091
11/4/2000,4290,1598,196.45
11/5/2000,4220,1596,196.092
11/6/2000,4200,1665,219.923
11/7/2000,4180,1752,603.8
11/8/2000,4180,1772,942.349
11/9/2000,4060,1813,865.298
11/10/2000,3970,1834,676.669
11/11/2000,3820,1800,534.912
11/12/2000,3700,1753,419.03
11/13/2000,3700,1680,421.755
11/14/2000,3720,1598,696.798
11/15/2000,3740,1480,593.41
11/16/2000,3800,1410,482.043
11/17/2000,4010,1533,424.126
11/18/2000,4200,1709,373.545
11/19/2000,4480,1763,318.565
11/20/2000,4740,1782,407.111
11/21/2000,4880,1774,461.284
11/22/2000,5020,1735,524.831
11/23/2000,5140,1732,669.114
11/24/2000,5160,1737,809.809
11/25/2000,5230,1708,795.582
11/26/2000,5210,1664,823.065
11/27/2000,5580,1616,1148.876
11/28/2000,5630,1669,1012.116
11/29/2000,5660,1774,845.208
11/30/2000,5630,1729,686.26
12/1/2000,5530,1742,599.143
12/2/2000,5530,1762,559.892
12/3/2000,5530,1729,786.122
12/4/2000,5500,1655,713.791
12/5/2000,5460,1565,585.167
12/6/2000,5530,1499,556.337
12/7/2000,5610,1466,543.6
12/8/2000,5660,1505,520.69
12/9/2000,5660,1535,528.421
12/10/2000,5500,1481,455.345
